Date,Plant_ID,Plant_Location,Machine_ID,Machine_Type,Shift,Operator_ID,Downtime_Minutes,Failure_Type,Maintenance_Cost,Production_Loss_Units,Production_Loss_Value,Repair_Time_Minutes,Technician_ID,Status,Root_Cause
01/01/2022,PLT-002,Mumbai,MCH-002-012,Conveyor Belt,Afternoon,OPR-1080,37,Human Error,2815.03,168,96378.40,27,TECH-227,Resolved,Incorrect setup
01/01/2022,PLT-003,Bangalore,MCH-003-015,CNC Machine,Morning,OPR-1132,96,Mechanical Failure,19315.02,452,88761.77,57,TECH-214,Resolved,Gear misalignment
01/01/2022,PLT-001,Pune,MCH-001-015,CNC Machine,Morning,OPR-1128,174,Hydraulic Leak,19716.36,1006,227222.51,147,TECH-204,Resolved,Pipe crack
01/01/2022,PLT-003,Bangalore,MCH-003-002,Lathe Machine,Morning,OPR-1191,221,Mechanical Failure,44848.19,1677,325851.03,161,TECH-203,Resolved,Gear misalignment
01/01/2022,PLT-003,Bangalore,MCH-003-019,Hydraulic Press,Morning,OPR-1098,36,Sensor Failure,7716.53,219,172457.31,25,TECH-259,Resolved,Calibration drift
01/01/2022,PLT-002,Mumbai,MCH-002-008,Conveyor Belt,Night,OPR-1039,92,Mechanical Failure,8679.55,686,511828.84,85,TECH-248,Resolved,Component fatigue
01/01/2022,PLT-001,Pune,MCH-001-014,Packaging Unit,Morning,OPR-1028,64,Human Error,11921.71,178,125484.48,56,TECH-205,Resolved,Missed maintenance check
01/01/2022,PLT-002,Mumbai,MCH-002-002,Conveyor Belt,Night,OPR-1071,89,Overheating,17296.52,518,125485.16,63,TECH-260,Resolved,Cooling fan failure
01/01/2022,PLT-002,Mumbai,MCH-002-015,Lathe Machine,Night,OPR-1085,177,Power Failure,16528.61,671,283366.43,121,TECH-201,Resolved,UPS failure
01/01/2022,PLT-001,Pune,MCH-001-015,Lathe Machine,Afternoon,OPR-1129,53,Sensor Failure,5765.63,142,22835.18,33,TECH-229,Resolved,Dirty sensor
01/01/2022,PLT-001,Pune,MCH-001-008,Hydraulic Press,Night,OPR-1107,71,Electrical Failure,16354.17,262,67776.84,55,TECH-229,Resolved,Short circuit
